"entropy";"pc";"bfr";"shf";"msi";"used";"blocked";"ratio"
"13.666667";"24.250494";"0.231455";"0.862455";"141.041667";"0.217211";"0";"0.000000"
"22.291667";"6.829738";"0.477891";"1.248039";"249.000000";"0.395597";"0";"0.000000"
"39.708333";"1.012378";"0.801415";"1.527366";"335.541667";"0.519886";"0";"0.000000"
"38.208333";"1.558525";"0.804012";"1.616702";"330.416667";"0.472420";"0";"0.000000"
"38.750000";"1.428621";"0.803848";"1.605351";"329.500000";"0.476444";"0";"0.000000"
"32.000000";"2.423851";"0.699744";"1.373726";"321.083333";"0.495502";"0";"0.180000"
"38.208333";"1.544447";"0.806520";"1.613920";"330.833333";"0.474432";"0";"0.000000"
"35.958333";"1.645727";"0.798004";"1.538699";"332.625000";"0.485559";"0";"0.000000"
"19.166667";"10.028913";"0.377680";"1.099982";"214.666667";"0.363163";"0";"0.000000"
"18.541667";"14.535923";"0.318349";"1.059123";"177.833333";"0.277699";"0";"0.000000"
"24.750000";"5.973423";"0.547982";"1.268758";"265.708333";"0.399503";"0";"0.000000"
"2.000000";"254.578602";"0.007554";"0.064699";"11.041667";"0.026870";"0";"0.000000"
"40.416667";"1.088642";"0.807164";"1.594894";"341.166667";"0.506037";"0";"0.000000"
"39.000000";"1.285324";"0.807401";"1.545815";"343.916667";"0.514678";"0";"0.000000"
"27.833333";"3.365547";"0.614095";"1.352154";"291.916667";"0.430279";"0";"0.000000"
"26.500000";"5.508552";"0.539001";"1.322897";"265.125000";"0.384588";"0";"0.000000"
"16.625000";"18.829892";"0.277188";"0.981668";"157.958333";"0.236387";"0";"0.000000"
"6.708333";"71.332396";"0.092203";"0.444562";"71.833333";"0.126065";"0";"0.000000"
"5.541667";"99.090082";"0.077243";"0.380940";"63.583333";"0.114702";"0";"0.000000"
"43.791667";"1.022931";"0.809674";"1.630656";"337.916667";"0.497869";"1";"0.120000"
"39.333333";"1.143459";"0.785682";"1.525276";"322.291667";"0.504143";"0";"0.000000"
"39.375000";"1.427762";"0.806905";"1.621801";"328.833333";"0.474195";"0";"0.160000"
"39.125000";"0.999534";"0.801642";"1.490724";"344.291667";"0.539181";"0";"0.190000"
"10.208333";"40.423281";"0.167527";"0.676298";"111.750000";"0.182647";"0";"0.000000"
"17.875000";"12.987465";"0.347206";"1.035493";"192.583333";"0.310488";"0";"0.000000"
"37.625000";"1.776194";"0.770519";"1.533885";"326.916667";"0.481297";"0";"0.190000"
"20.583333";"10.693917";"0.414376";"1.184500";"211.541667";"0.300663";"0";"0.000000"
"35.708333";"1.612712";"0.745629";"1.494683";"330.166667";"0.479285";"0";"0.140000"
"20.166667";"10.322094";"0.406221";"1.171311";"216.916667";"0.330611";"0";"0.000000"
"14.958333";"24.273289";"0.245926";"0.914345";"144.166667";"0.214489";"0";"0.000000"
"37.791667";"1.630042";"0.790000";"1.612786";"328.375000";"0.464370";"0";"0.000000"
"31.750000";"2.210025";"0.679914";"1.382096";"311.750000";"0.470526";"0";"0.230000"
"12.500000";"31.976484";"0.174516";"0.708060";"118.625000";"0.199100";"0";"0.000000"
"8.583333";"63.793326";"0.144271";"0.595949";"94.041667";"0.145715";"0";"0.000000"
"27.416667";"3.016813";"0.630450";"1.350670";"289.875000";"0.483310";"0";"0.000000"
"33.666667";"2.305199";"0.694548";"1.411034";"324.458333";"0.484730";"1";"0.160000"
"3.541667";"213.368749";"0.017408";"0.145690";"27.583333";"0.064749";"0";"0.000000"
"37.125000";"1.472883";"0.789205";"1.508349";"334.125000";"0.492188";"1";"0.170000"
"31.541667";"1.440683";"0.691128";"1.226295";"327.916667";"0.573745";"1";"0.600000"
