entropy, bfr, shf, used, blocked, ratio
6.791667, 0.104285 , 0.465713 , 0.111742 , 0 , 0.00
6.958333, 0.107620 , 0.478819 , 0.113873 , 0 , 0.00
7.375000, 0.113628 , 0.499746 , 0.114347 , 0 , 0.00
7.458333, 0.111872 , 0.497303 , 0.116122 , 0 , 0.00
7.458333, 0.110520 , 0.493069 , 0.117543 , 0 , 0.00
7.458333, 0.109693 , 0.491616 , 0.118371 , 0 , 0.00
7.458333, 0.109451 , 0.490618 , 0.118608 , 0 , 0.00
7.583333, 0.109679 , 0.491549 , 0.118371 , 0 , 0.00
7.666667, 0.107045 , 0.486598 , 0.120739 , 0 , 0.00
7.750000, 0.107647 , 0.489864 , 0.122514 , 0 , 0.00
7.916667, 0.116187 , 0.513695 , 0.124882 , 0 , 0.00
7.916667, 0.116073 , 0.513321 , 0.125000 , 0 , 0.00
7.833333, 0.115031 , 0.509137 , 0.126065 , 0 , 0.00
7.833333, 0.114786 , 0.509274 , 0.127131 , 0 , 0.00
7.916667, 0.112961 , 0.505827 , 0.128788 , 0 , 0.00
7.916667, 0.112836 , 0.505505 , 0.128906 , 0 , 0.00
7.833333, 0.112106 , 0.503262 , 0.129616 , 0 , 0.00
7.916667, 0.111840 , 0.502859 , 0.129853 , 0 , 0.00
7.833333, 0.111304 , 0.500637 , 0.130327 , 0 , 0.00
7.833333, 0.110844 , 0.500133 , 0.131274 , 0 , 0.00
7.833333, 0.110504 , 0.500259 , 0.132694 , 0 , 0.00
7.916667, 0.111186 , 0.503553 , 0.133759 , 0 , 0.00
7.916667, 0.110897 , 0.502554 , 0.133996 , 0 , 0.00
8.000000, 0.112436 , 0.508836 , 0.135653 , 0 , 0.00
8.000000, 0.112321 , 0.508438 , 0.135772 , 0 , 0.00
8.083333, 0.111416 , 0.507439 , 0.136719 , 0 , 0.00
8.166667, 0.122651 , 0.530557 , 0.137429 , 0 , 0.00
8.166667, 0.122678 , 0.531051 , 0.138139 , 0 , 0.00
8.458333, 0.132222 , 0.557361 , 0.131155 , 0 , 0.00
8.458333, 0.131991 , 0.556465 , 0.131392 , 0 , 0.00
8.541667, 0.138917 , 0.572325 , 0.132813 , 0 , 0.00
8.541667, 0.139162 , 0.573091 , 0.134233 , 0 , 0.00
8.708333, 0.137178 , 0.571530 , 0.136127 , 0 , 0.00
8.791667, 0.136975 , 0.579057 , 0.137192 , 0 , 0.00
8.875000, 0.135648 , 0.576754 , 0.138613 , 0 , 0.00
9.041667, 0.143338 , 0.597477 , 0.141454 , 0 , 0.00
9.208333, 0.148829 , 0.615058 , 0.143939 , 0 , 0.00
9.291667, 0.143698 , 0.600575 , 0.141098 , 0 , 0.00
9.208333, 0.141797 , 0.596775 , 0.142874 , 0 , 0.00
8.958333, 0.139845 , 0.589735 , 0.145241 , 0 , 0.00
9.041667, 0.138857 , 0.589229 , 0.147017 , 0 , 0.00
9.041667, 0.138207 , 0.587625 , 0.147727 , 0 , 0.00
9.250000, 0.135984 , 0.584205 , 0.144413 , 0 , 0.00
9.333333, 0.134166 , 0.581921 , 0.146307 , 0 , 0.00
9.333333, 0.133288 , 0.579478 , 0.147254 , 0 , 0.00
9.416667, 0.132790 , 0.578281 , 0.147727 , 0 , 0.00
9.500000, 0.132280 , 0.577415 , 0.148201 , 0 , 0.00
9.500000, 0.132145 , 0.576947 , 0.148319 , 0 , 0.00
9.500000, 0.130225 , 0.572635 , 0.150213 , 0 , 0.00
9.500000, 0.129684 , 0.571172 , 0.150687 , 0 , 0.00
9.500000, 0.130516 , 0.570256 , 0.149384 , 0 , 0.00
9.500000, 0.130147 , 0.568962 , 0.149740 , 0 , 0.00
9.333333, 0.129876 , 0.567574 , 0.149976 , 0 , 0.00
9.333333, 0.129655 , 0.566576 , 0.150213 , 0 , 0.00
9.333333, 0.128976 , 0.564937 , 0.150923 , 0 , 0.00
9.750000, 0.132701 , 0.572570 , 0.144413 , 0 , 0.00
9.833333, 0.133132 , 0.575155 , 0.145360 , 0 , 0.00
9.750000, 0.133188 , 0.575756 , 0.146780 , 0 , 0.00
9.750000, 0.132934 , 0.574820 , 0.147017 , 0 , 0.00
9.750000, 0.133300 , 0.575524 , 0.148438 , 0 , 0.00
9.833333, 0.132943 , 0.575533 , 0.148911 , 0 , 0.00
9.750000, 0.132680 , 0.574370 , 0.149148 , 0 , 0.00
