Tiempo,Demandas,Bloqueo,Entropia,MSI,BFR,LightPaths,Path Consecutiveness,Entr/uso,%uso,Probabilidad
881,9,1,33.667,237.048,0.805,328.0,1.873,92.87,0.418,0.88
882,6,2,33.762,237.048,0.809,330.0,1.808,95.069,0.422,0.889
883,13,1,33.381,231.667,0.793,336.0,1.846,92.998,0.425,0.881
884,1,0,33.19,231.381,0.798,330.0,1.92,91.424,0.419,0.865
885,5,1,33.476,231.381,0.792,328.0,1.944,91.038,0.418,0.873
886,2,0,33.762,235.19,0.794,328.0,1.889,94.369,0.418,0.882
887,7,2,34.048,235.19,0.804,328.0,1.871,96.412,0.419,0.892
888,4,2,34.571,235.19,0.792,320.0,2.095,92.587,0.404,0.888
889,1,0,34.857,235.19,0.795,315.0,2.241,90.748,0.394,0.883
890,4,0,34.19,234.381,0.785,314.0,2.273,88.918,0.395,0.862
891,2,0,34.143,234.381,0.781,313.0,2.207,90.173,0.396,0.862
892,1,0,34.238,234.381,0.781,312.0,2.209,90.54,0.396,0.864
893,4,0,34.238,234.381,0.776,312.0,2.318,88.613,0.39,0.855
894,6,0,34.524,235.238,0.78,312.0,2.323,89.106,0.39,0.865
895,3,1,34.524,235.238,0.78,311.0,2.281,89.818,0.391,0.866
896,9,1,34.238,235.238,0.777,316.0,2.134,92.307,0.4,0.871
897,2,0,33.952,235.238,0.779,316.0,2.189,91.339,0.4,0.861
898,7,0,33.571,235.238,0.781,322.0,1.998,94.255,0.411,0.864
899,9,2,33.476,236.0,0.784,321.0,1.937,94.253,0.419,0.875
900,5,0,33.095,236.0,0.781,324.0,1.936,92.442,0.42,0.863
901,8,1,33.286,236.0,0.786,329.0,2.005,92.706,0.42,0.87
902,5,0,33.381,236.0,0.79,330.0,2.001,93.191,0.422,0.877
903,7,1,33.381,236.0,0.796,332.0,1.987,94.269,0.423,0.879
904,2,0,33.19,236.048,0.796,332.0,2.062,92.241,0.422,0.871
905,3,0,33.476,236.048,0.801,328.0,2.059,92.852,0.42,0.877
906,7,1,33.476,236.048,0.8,327.0,2.117,91.632,0.417,0.873
907,12,1,33.238,234.095,0.792,336.0,2.044,90.996,0.422,0.872
908,5,1,33.143,234.238,0.789,335.0,2.036,90.679,0.421,0.867
909,5,0,33.19,234.238,0.778,336.0,2.009,91.379,0.423,0.873
910,6,3,33.429,234.238,0.788,336.0,1.977,92.191,0.425,0.883
911,4,0,33.238,234.238,0.785,336.0,1.995,91.849,0.426,0.878
912,5,0,33.476,234.238,0.781,336.0,1.973,94.464,0.429,0.891
913,4,0,33.286,234.238,0.783,337.0,2.047,92.771,0.43,0.887
914,4,1,32.81,234.238,0.773,336.0,2.109,91.413,0.427,0.865
915,6,1,32.714,235.238,0.78,335.0,2.163,90.891,0.425,0.858
916,5,1,33.0,235.238,0.79,333.0,2.172,90.781,0.424,0.867
917,2,0,33.095,236.524,0.79,331.0,2.215,90.095,0.423,0.869
918,8,2,32.81,236.524,0.781,334.0,2.228,88.209,0.425,0.863
919,4,0,32.571,236.524,0.783,334.0,2.412,86.526,0.422,0.849
920,7,0,31.905,236.524,0.771,336.0,2.426,85.292,0.42,0.815
921,2,0,31.952,236.524,0.772,335.0,2.452,84.898,0.417,0.811
922,4,0,31.905,236.524,0.775,333.0,2.477,85.805,0.411,0.794
923,3,0,31.905,236.524,0.777,332.0,2.515,85.663,0.409,0.789
924,2,1,32.19,236.524,0.779,329.0,2.541,85.624,0.404,0.794
925,6,1,32.524,236.524,0.787,328.0,2.397,88.509,0.404,0.81
926,10,1,32.571,236.619,0.78,332.0,2.29,89.283,0.41,0.824
927,5,1,32.571,236.619,0.786,331.0,2.369,87.959,0.408,0.821
928,5,2,32.571,236.619,0.776,332.0,2.383,88.057,0.408,0.82
929,3,0,32.095,234.952,0.779,327.0,2.534,84.722,0.403,0.787
930,3,1,32.19,233.238,0.779,324.0,2.593,84.144,0.398,0.778
931,3,0,32.571,233.238,0.777,323.0,2.569,85.088,0.396,0.794
932,6,2,32.381,231.476,0.78,319.0,2.615,85.075,0.392,0.772
933,7,0,32.571,231.476,0.778,321.0,2.387,88.246,0.399,0.8
934,5,0,32.762,231.143,0.789,320.0,2.218,92.703,0.402,0.815
935,6,0,33.143,231.143,0.789,321.0,2.16,94.749,0.405,0.839
936,3,0,33.714,233.667,0.795,321.0,2.225,94.537,0.404,0.859
937,5,0,34.0,233.667,0.796,324.0,1.957,100.275,0.414,0.884
938,5,0,33.429,233.667,0.797,325.0,2.002,98.005,0.417,0.87
939,7,1,32.952,233.667,0.793,327.0,1.973,97.551,0.423,0.864
940,10,1,33.238,233.81,0.808,333.0,1.742,103.437,0.435,0.892
941,3,0,33.667,233.524,0.811,329.0,1.709,105.029,0.433,0.9
942,6,1,33.667,233.524,0.81,331.0,1.671,106.12,0.435,0.903
943,5,1,33.571,233.524,0.809,333.0,1.663,105.757,0.436,0.901
944,4,0,33.286,233.524,0.808,331.0,1.797,102.669,0.429,0.884
945,3,0,33.762,233.524,0.808,332.0,1.636,106.167,0.434,0.904
946,3,1,34.429,232.905,0.81,326.0,1.726,103.9,0.424,0.91
947,5,0,34.429,234.333,0.812,328.0,1.666,104.5,0.432,0.918
948,5,1,34.667,234.333,0.815,327.0,1.592,105.433,0.432,0.924
949,1,0,34.667,234.333,0.812,324.0,1.576,105.348,0.431,0.923
950,4,0,34.381,234.333,0.803,324.0,1.629,104.628,0.432,0.918
951,6,1,34.571,235.143,0.8,326.0,1.577,104.082,0.437,0.927
952,5,0,35.048,235.143,0.823,323.0,1.564,105.723,0.436,0.935
953,3,1,35.524,235.143,0.831,321.0,1.503,109.169,0.435,0.943
954,9,1,36.095,234.571,0.831,323.0,1.431,111.529,0.438,0.953
955,1,0,35.905,234.571,0.83,318.0,1.501,108.382,0.432,0.947
956,6,0,35.81,234.857,0.828,324.0,1.44,109.169,0.438,0.949
957,2,1,35.81,234.857,0.827,320.0,1.534,105.729,0.428,0.942
958,6,1,35.714,234.857,0.831,319.0,1.595,105.226,0.426,0.939
959,5,1,35.762,234.857,0.831,318.0,1.583,104.832,0.426,0.94
960,5,2,35.952,234.857,0.83,318.0,1.592,104.65,0.425,0.943
961,2,0,36.238,234.857,0.83,316.0,1.633,104.768,0.421,0.944
962,5,0,36.714,235.333,0.827,316.0,1.639,105.038,0.423,0.953
963,4,2,36.905,235.333,0.822,312.0,1.725,102.461,0.417,0.951
964,7,0,36.905,235.476,0.829,315.0,1.692,104.024,0.42,0.954
965,9,1,36.429,233.952,0.82,320.0,1.624,105.416,0.425,0.95
966,3,0,36.524,235.286,0.818,321.0,1.621,106.077,0.427,0.953
967,5,1,36.238,235.286,0.811,320.0,1.639,106.263,0.424,0.946
968,4,0,35.952,235.286,0.809,321.0,1.651,106.25,0.423,0.941
969,1,0,35.762,235.286,0.805,317.0,1.802,102.084,0.416,0.931
970,12,2,36.429,235.286,0.812,322.0,1.701,105.093,0.417,0.945
971,1,0,36.714,235.286,0.815,316.0,1.884,100.444,0.407,0.941
972,5,1,36.143,235.286,0.813,317.0,1.899,98.709,0.41,0.934
973,10,0,35.714,235.286,0.809,322.0,1.939,96.435,0.411,0.926
974,6,0,35.857,235.286,0.808,324.0,1.902,98.497,0.413,0.93
975,7,2,36.048,235.286,0.809,325.0,1.803,100.319,0.416,0.937
976,5,0,36.762,235.571,0.805,327.0,1.617,105.255,0.425,0.955
977,5,1,37.238,235.571,0.806,325.0,1.577,107.871,0.425,0.96
978,4,0,37.238,234.0,0.805,322.0,1.692,106.023,0.418,0.957
979,8,0,36.571,234.19,0.808,322.0,1.77,101.809,0.418,0.947
980,3,0,36.714,234.19,0.805,319.0,1.747,102.122,0.415,0.948
981,2,0,36.048,234.19,0.8,320.0,1.905,97.149,0.412,0.934
982,7,2,35.0,234.19,0.791,317.0,2.077,92.084,0.404,0.9
983,5,1,34.429,234.19,0.796,319.0,2.163,90.179,0.404,0.885
984,4,0,34.619,234.19,0.797,317.0,2.191,90.116,0.401,0.885
985,6,0,34.238,234.19,0.795,321.0,2.174,89.51,0.404,0.877
986,1,0,34.143,234.0,0.8,315.0,2.247,88.283,0.397,0.864
987,3,0,33.905,234.0,0.801,313.0,2.287,87.849,0.396,0.853
988,7,1,33.81,234.0,0.803,313.0,2.228,88.613,0.4,0.855
989,4,0,33.238,234.0,0.799,315.0,2.277,86.931,0.402,0.837
990,6,0,33.238,234.0,0.807,314.0,2.242,88.524,0.401,0.835
991,5,0,33.524,234.0,0.804,315.0,2.149,90.242,0.403,0.85
992,2,0,32.762,234.0,0.801,314.0,2.203,88.855,0.403,0.816
993,1,0,32.19,234.0,0.801,312.0,2.233,88.24,0.403,0.789
994,4,0,32.0,234.238,0.799,314.0,2.197,88.407,0.405,0.784
995,8,0,32.0,234.238,0.799,316.0,2.043,92.243,0.409,0.792
996,2,0,32.0,232.667,0.803,314.0,2.116,90.216,0.404,0.782
997,3,0,32.095,234.0,0.8,315.0,2.134,89.617,0.406,0.791
998,9,1,32.381,234.0,0.804,320.0,1.998,93.378,0.415,0.824
999,5,1,32.238,234.0,0.802,320.0,2.008,92.81,0.415,0.817
1000,0,0,32.143,234.0,0.797,314.0,2.138,91.33,0.406,0.792
