"time";"entropy";"path_consecutiveness";"bfr";"msi";"slots";"blocked";"sumSlots";"sumBlockedSlots";"ratio"
5;1.238095;303.577221;0.004395;7.52381;1;" false ";45;0;0.0
5;1.238095;304.514108;0.003177;7.904762;5;" false ";54;0;0.0
6;1.238095;313.997224;0.002337;5.095238;6;" false ";39;0;0.0
3;1.27907;244.605408;0.009775;8.418605;6;" false ";40;0;0.0
4;1.27907;246.35924;0.00979;8.837209;6;" false ";40;0;0.0
5;1.285714;265.985752;0.009749;11.761905;2;" false ";53;0;0.0
4;1.285714;269.516357;0.009743;10.47619;4;" false ";52;0;0.0
6;1.285714;301.352628;0.004456;9.857143;8;" false ";58;0;0.0
5;1.285714;304.514108;0.003177;8.190476;7;" false ";53;0;0.0
8;1.285714;311.215037;0.004956;10.190476;3;" false ";47;0;0.0
4;1.302326;246.211465;0.009331;8.837209;7;" false ";46;0;0.0
4;1.333333;261.360795;0.006834;8.857143;5;" false ";42;0;0.0
8;1.333333;267.584226;0.007234;9.904762;2;" false ";52;0;0.0
4;1.333333;277.686564;0.003159;6.47619;5;" false ";46;0;0.0
4;1.380952;272.049393;0.006792;8.142857;3;" false ";46;0;0.0
4;1.380952;293.678751;0.003911;7.380952;6;" false ";50;0;0.0
6;1.380952;296.008716;0.002901;6.047619;5;" false ";45;0;0.0
4;1.428571;259.939717;0.006698;8.904762;1;" false ";42;0;0.0
5;1.428571;267.182044;0.011474;13.238095;3;" false ";44;0;0.0
6;1.428571;269.851046;0.004293;8.428571;5;" false ";50;0;0.0
5;1.428571;279.414644;0.005511;8.47619;4;" false ";41;0;0.0
7;1.428571;281.257264;0.005159;8.47619;7;" false ";49;0;0.0
6;1.47619;278.048199;0.005511;8.761905;5;" false ";37;0;0.0
6;1.47619;279.279313;0.005511;8.52381;2;" false ";37;0;0.0
7;1.47619;285.961777;0.00446;10.571429;6;" false ";47;0;0.0
4;1.47619;286.002776;0.006785;8.619048;4;" false ";43;0;0.0
6;1.47619;294.934207;0.006126;11.380952;5;" false ";57;0;0.0
5;1.52381;251.41247;0.008753;10.0;3;" false ";42;0;0.0
5;1.52381;252.09078;0.005377;5.571429;5;" false ";32;0;0.0
8;1.52381;253.62246;0.008581;12.619048;5;" false ";56;0;0.0
6;1.52381;264.568117;0.005708;9.619048;5;" false ";54;0;0.0
7;1.52381;269.904797;0.008172;14.809524;1;" false ";36;0;0.0
5;1.534884;225.958835;0.012996;11.604651;4;" false ";54;0;0.0
5;1.571429;251.1431;0.008753;10.047619;2;" false ";38;0;0.0
6;1.571429;269.880553;0.004438;7.571429;6;" false ";42;0;0.0
10;1.571429;274.46988;0.007872;12.47619;8;" false ";41;0;0.0
10;1.571429;275.581063;0.007872;12.0;2;" false ";40;0;0.0
7;1.571429;281.201898;0.004774;11.238095;6;" false ";51;0;0.0
6;1.571429;283.543388;0.00789;9.714286;7;" false ";49;0;0.0
7;1.619048;248.223786;0.007362;10.52381;3;" false ";47;0;0.0
9;1.619048;268.404625;0.006435;11.142857;2;" false ";52;0;0.0
6;1.627907;224.272958;0.012993;12.395349;4;" false ";53;0;0.0
6;1.627907;227.048785;0.012815;13.023256;1;" false ";45;0;0.0
6;1.627907;227.161741;0.013021;13.023256;2;" false ";50;0;0.0
9;1.666667;242.552159;0.013349;13.809524;4;" false ";20;0;0.0
7;1.666667;269.572508;0.004992;8.047619;3;" false ";39;0;0.0
7;1.666667;276.029959;0.004992;8.428571;8;" false ";44;0;0.0
6;1.714286;236.549877;0.007185;7.47619;7;" false ";36;0;0.0
8;1.714286;243.112442;0.008753;11.714286;8;" false ";49;0;0.0
7;1.761905;259.658704;0.009373;12.761905;5;" false ";47;0;0.0
7;1.761905;265.980544;0.006168;10.428571;6;" false ";41;0;0.0
10;1.761905;267.895909;0.008537;13.52381;5;" false ";36;0;0.0
11;1.809524;238.454976;0.011344;14.666667;4;" false ";48;0;0.0
6;1.813953;216.623578;0.018442;15.72093;5;" false ";43;0;0.0
5;1.857143;229.969256;0.011817;12.619048;8;" false ";35;0;0.0
5;1.857143;231.270338;0.008758;11.0;4;" false ";48;0;0.0
10;1.857143;238.470934;0.015712;14.952381;1;" false ";19;0;0.0
8;1.857143;248.924953;0.010028;13.190476;2;" false ";44;0;0.0
8;1.857143;256.957774;0.007587;11.571429;8;" false ";46;0;0.0
7;1.857143;274.567235;0.004849;8.761905;3;" false ";44;0;0.0
10;1.857143;276.9078;0.009478;15.142857;3;" false ";48;0;0.0
9;1.857143;276.972011;0.009478;15.0;4;" false ";51;0;0.0
9;1.904762;215.175641;0.011522;12.52381;7;" false ";47;0;0.0
5;1.904762;229.343287;0.011817;12.904762;7;" false ";41;0;0.0
12;1.904762;233.706838;0.014774;16.285714;5;" false ";49;0;0.0
7;1.906977;210.83012;0.019343;16.186047;3;" false ";44;0;0.0
9;1.952381;252.393014;0.01004;14.809524;4;" false ";53;0;0.0
8;1.952381;255.742661;0.007878;12.52381;8;" false ";50;0;0.0
8;1.952381;256.899686;0.007859;11.761905;1;" false ";39;0;0.0
8;1.952381;256.899686;0.007878;12.142857;8;" false ";46;0;0.0
6;2.0;232.327512;0.008873;9.809524;5;" false ";41;0;0.0
6;2.0;233.384104;0.008851;9.333333;1;" false ";37;0;0.0
8;2.0;256.457537;0.009542;14.809524;3;" false ";49;0;0.0
8;2.047619;228.840974;0.01235;14.52381;3;" false ";43;0;0.0
11;2.047619;242.10138;0.012209;15.190476;2;" false ";29;0;0.0
8;2.047619;251.975928;0.010212;13.666667;4;" false ";52;0;0.0
12;2.095238;222.679214;0.017599;17.52381;2;" false ";43;0;0.0
9;2.095238;270.358374;0.005017;10.095238;6;" false ";40;0;0.0
8;2.095238;270.999516;0.005007;9.809524;6;" false ";39;0;0.0
8;2.095238;271.623483;0.005007;9.238095;2;" false ";35;0;0.0
12;2.142857;225.593094;0.012764;16.761905;1;" false ";30;0;0.0
9;2.142857;270.358374;0.004881;10.095238;1;" false ";38;0;0.0
7;2.190476;214.168722;0.016426;15.809524;5;" false ";44;0;0.0
9;2.238095;216.878325;0.017721;16.619048;2;" false ";39;0;0.0
12;2.238095;223.827533;0.012907;17.571429;8;" false ";36;0;0.0
10;2.238095;265.876969;0.011942;17.0;7;" false ";38;0;0.0
10;2.238095;268.960066;0.00517;10.809524;7;" false ";39;0;0.0
8;2.27907;201.750989;0.02032;18.697674;4;" false ";38;0;0.0
10;2.285714;200.428095;0.014969;16.095238;6;" false ";47;0;0.0
15;2.285714;219.823724;0.016239;18.904762;3;" false ";47;0;0.0
8;2.285714;228.932916;0.01027;11.809524;6;" false ";48;0;0.0
8;2.285714;230.364088;0.014664;19.428571;4;" false ";35;0;0.0
10;2.333333;211.062941;0.018809;17.285714;6;" false ";42;0;0.0
8;2.333333;215.211874;0.015881;15.809524;1;" false ";43;0;0.0
13;2.333333;223.831601;0.01863;19.619048;1;" false ";44;0;0.0
9;2.333333;225.396909;0.015771;16.761905;8;" false ";50;0;0.0
13;2.333333;240.381564;0.012585;17.428571;6;" false ";33;0;0.0
15;2.333333;245.118979;0.009447;18.047619;8;" false ";45;0;0.0
15;2.333333;245.457693;0.00943;17.666667;6;" false ";40;0;0.0
10;2.380952;192.554139;0.015429;16.952381;5;" false ";51;0;0.0
10;2.380952;212.097043;0.018809;17.619048;8;" false ";42;0;0.0
9;2.380952;226.530895;0.014954;19.714286;2;" false ";32;0;0.0
9;2.380952;237.196367;0.013146;18.380952;6;" false ";45;0;0.0
10;2.428571;230.810681;0.015652;17.47619;2;" false ";52;0;0.0
9;2.465116;189.621369;0.021273;19.488372;1;" false ";41;0;0.0
9;2.47619;212.266432;0.014728;20.095238;3;" false ";30;0;0.0
15;2.47619;217.155959;0.01541;19.0;2;" false ";42;0;0.0
9;2.47619;222.356104;0.014338;19.333333;4;" false ";46;0;0.0
12;2.52381;238.680753;0.013876;19.761905;8;" false ";46;0;0.0
12;2.52381;260.014162;0.008561;14.142857;8;" false ";45;0;0.0
12;2.52381;260.594514;0.008538;13.619048;5;" false ";42;0;0.0
10;2.571429;193.232438;0.015791;21.142857;5;" false ";32;0;0.0
11;2.571429;208.706084;0.019591;18.857143;3;" false ";38;0;0.0
11;2.571429;209.690449;0.01884;22.761905;6;" false ";51;0;0.0
10;2.571429;212.259276;0.018723;21.333333;3;" false ";47;0;0.0
15;2.571429;215.604952;0.016583;20.619048;6;" false ";40;0;0.0
9;2.604651;179.59298;0.025152;21.465116;2;" false ";42;0;0.0
13;2.619048;210.555678;0.019342;19.428571;2;" false ";45;0;0.0
8;2.619048;213.042614;0.018153;17.333333;2;" false ";45;0;0.0
13;2.619048;217.167248;0.018797;19.428571;4;" false ";46;0;0.0
13;2.619048;218.075424;0.012129;14.285714;7;" false ";46;0;0.0
10;2.666667;227.534737;0.010999;16.190476;7;" false ";58;0;0.0
8;2.714286;211.499042;0.019708;18.0;1;" false ";39;0;0.0
13;2.714286;225.570226;0.016795;21.095238;3;" false ";35;0;0.0
12;2.761905;166.556458;0.021984;20.857143;6;" false ";51;0;0.0
17;2.761905;229.878492;0.012761;23.285714;7;" false ";67;0;0.0
11;2.790698;169.41424;0.026787;23.232558;4;" false ";29;0;0.0
13;2.809524;205.666269;0.019918;20.904762;8;" false ";52;0;0.0
11;2.809524;220.697594;0.023324;21.52381;3;" false ";35;0;0.0
14;2.809524;232.356308;0.017262;23.142857;5;" false ";41;0;0.0
13;2.809524;232.884373;0.017242;22.380952;6;" false ";40;0;0.0
14;2.809524;233.287739;0.01599;22.666667;5;" false ";57;0;0.0
17;2.857143;205.069279;0.019488;22.809524;4;" false ";40;0;0.0
9;2.904762;156.296423;0.020802;20.619048;5;" false ";47;0;0.0
13;2.904762;196.779571;0.015161;16.761905;5;" false ";51;0;0.0
