"entropy";"pc";"bfr";"shf";"msi";"used";"demandsq";"lockss";"ratio"
"34.904762";"0.398476";"0.783237";"1.114104";"344.190476";"0.684524";"3";"1";"0.510000"
"30.209302";"3.162140";"0.688201";"1.365308";"311.488372";"0.455140";"3";"0";"0.160000"
"7.500000";"72.005106";"0.087602";"0.436794";"71.291667";"0.128196";"9";"0";"0.000000"
"7.333333";"75.509431";"0.080613";"0.427234";"73.791667";"0.142282";"6";"0";"0.000000"
"8.416667";"62.270596";"0.099239";"0.490362";"79.666667";"0.142874";"6";"0";"0.000000"
"41.904762";"0.264585";"0.839429";"1.128691";"347.523810";"0.707116";"2";"0";"0.310000"
"27.958333";"2.547311";"0.659179";"1.260653";"304.666667";"0.513849";"2";"0";"0.010000"
"41.875000";"0.262651";"0.818261";"1.201283";"344.791667";"0.671283";"4";"1";"0.430000"
"45.190476";"0.099972";"0.852321";"0.979372";"348.619048";"0.770292";"3";"0";"0.380000"
"37.583333";"1.322389";"0.777900";"1.509383";"333.666667";"0.507339";"3";"1";"0.350000"
"40.666667";"0.117085";"0.841791";"1.001627";"348.476190";"0.750812";"8";"3";"0.540000"
"27.952381";"2.651379";"0.613656";"1.171159";"311.238095";"0.554518";"6";"1";"0.010000"
"38.069767";"1.477562";"0.754856";"1.414903";"331.651163";"0.523124";"5";"1";"0.190000"
"42.428571";"0.623213";"0.840696";"1.357707";"343.333333";"0.622700";"3";"0";"0.390000"
"33.291667";"1.675124";"0.722349";"1.336085";"330.958333";"0.535275";"2";"0";"0.330000"
"9.541667";"55.668557";"0.104823";"0.514795";"81.750000";"0.143821";"4";"0";"0.000000"
"5.791667";"109.041472";"0.053337";"0.302772";"48.625000";"0.091974";"6";"0";"0.000000"
"47.208333";"0.220294";"0.850666";"1.239931";"348.166667";"0.682173";"7";"1";"0.390000"
"31.875000";"1.682429";"0.699631";"1.369544";"326.333333";"0.518821";"4";"0";"0.010000"
"38.476190";"0.203088";"0.815746";"1.030388";"347.809524";"0.734713";"4";"2";"0.300000"
"28.958333";"2.392609";"0.675616";"1.282569";"314.000000";"0.523556";"1";"0";"0.010000"
"40.348837";"1.268867";"0.775997";"1.370861";"337.720930";"0.562104";"8";"0";"0.110000"
"30.708333";"1.684650";"0.723414";"1.343903";"329.500000";"0.528883";"4";"0";"0.010000"
"28.116279";"2.184898";"0.690206";"1.285077";"320.581395";"0.501784";"10";"0";"0.110000"
"5.250000";"112.008815";"0.061219";"0.308367";"47.750000";"0.082150";"8";"0";"0.000000"
"9.333333";"53.188181";"0.096099";"0.486798";"80.125000";"0.147254";"5";"0";"0.000000"
"4.750000";"113.869787";"0.050454";"0.278082";"44.083333";"0.081439";"4";"0";"0.000000"
"4.458333";"139.414706";"0.038490";"0.236185";"40.125000";"0.081084";"4";"0";"0.000000"
"6.041667";"99.758889";"0.052952";"0.313648";"54.291667";"0.109493";"2";"0";"0.000000"
"30.833333";"1.625169";"0.701694";"1.236965";"321.625000";"0.564631";"3";"0";"0.330000"
"44.761905";"0.314769";"0.823594";"1.237874";"347.571429";"0.667208";"7";"1";"0.470000"
"6.875000";"75.870671";"0.128756";"0.544493";"92.708333";"0.154356";"3";"0";"0.000000"
"27.604651";"3.017264";"0.705221";"1.394614";"319.023256";"0.457518";"6";"0";"0.150000"
"38.674419";"1.181521";"0.792976";"1.451632";"335.000000";"0.529070";"5";"2";"0.140000"
"31.125000";"1.635610";"0.709958";"1.289695";"323.166667";"0.540128";"5";"1";"0.020000"
"45.250000";"0.228409";"0.837461";"1.225032";"347.666667";"0.681937";"4";"1";"0.600000"
"36.333333";"0.784274";"0.801262";"1.175170";"343.238095";"0.649756";"2";"1";"0.420000"
"9.250000";"61.996016";"0.113026";"0.539435";"91.708333";"0.166075";"6";"0";"0.000000"
"26.458333";"1.998351";"0.632794";"1.213663";"323.916667";"0.533381";"8";"1";"0.010000"
"31.041667";"1.157237";"0.709010";"1.205038";"330.208333";"0.591146";"4";"1";"0.010000"
"43.809524";"0.198896";"0.831609";"1.117896";"349.190476";"0.713203";"5";"2";"0.480000"
"3.333333";"187.253621";"0.027435";"0.168463";"27.458333";"0.054688";"4";"0";"0.000000"
"27.500000";"1.921732";"0.700307";"1.208610";"320.416667";"0.555161";"2";"0";"0.010000"
"5.916667";"102.938897";"0.054737";"0.319973";"55.083333";"0.109848";"8";"0";"0.000000"
"31.833333";"1.221452";"0.733521";"1.290077";"333.541667";"0.556700";"5";"2";"0.460000"
"9.541667";"63.902998";"0.103724";"0.540843";"94.166667";"0.183239";"4";"0";"0.000000"
"32.083333";"0.980407";"0.764161";"1.333239";"342.583333";"0.562737";"3";"0";"0.180000"
"47.190476";"0.124824";"0.846692";"1.085325";"349.190476";"0.734307";"7";"4";"0.500000"
"31.375000";"1.835406";"0.698262";"1.231596";"321.416667";"0.554214";"7";"2";"0.020000"
"7.583333";"66.420005";"0.105902";"0.497805";"77.708333";"0.130208";"8";"0";"0.000000"
"45.333333";"0.194671";"0.843436";"1.091369";"349.142857";"0.725108";"7";"1";"0.430000"
"43.875000";"0.257930";"0.822061";"1.164219";"345.458333";"0.682647";"5";"0";"0.360000"
"4.166667";"148.933817";"0.038638";"0.224903";"35.333333";"0.066880";"3";"0";"0.000000"
"30.372093";"3.345560";"0.688856";"1.352872";"317.302326";"0.456990";"3";"0";"0.280000"
"31.833333";"1.333834";"0.692361";"1.314353";"320.250000";"0.544744";"3";"0";"0.010000"
"27.708333";"2.612091";"0.663778";"1.227908";"325.333333";"0.530777";"2";"0";"0.010000"
"31.458333";"1.442764";"0.747561";"1.331238";"337.958333";"0.538707";"4";"0";"0.010000"
"40.708333";"0.148808";"0.812624";"0.996983";"349.791667";"0.739347";"5";"3";"0.510000"
"4.458333";"114.269454";"0.058241";"0.290739";"44.333333";"0.073864";"8";"0";"0.000000"
"5.833333";"94.058838";"0.067620";"0.359405";"56.333333";"0.101207";"2";"0";"0.000000"
"8.916667";"45.767867";"0.170299";"0.624022";"105.666667";"0.155658";"1";"0";"0.000000"
"8.333333";"62.023307";"0.093793";"0.475557";"77.916667";"0.141809";"5";"0";"0.000000"
"36.046512";"1.349919";"0.794478";"1.366599";"339.372093";"0.559329";"5";"2";"0.340000"
"36.238095";"0.658554";"0.793595";"1.231392";"343.619048";"0.635687";"5";"0";"0.150000"
"6.666667";"86.445885";"0.081305";"0.411492";"63.291667";"0.108665";"6";"0";"0.000000"
"3.666667";"136.583398";"0.044605";"0.224834";"32.958333";"0.054096";"4";"0";"0.000000"
"36.906977";"1.489996";"0.782626";"1.507565";"334.441860";"0.499868";"2";"0";"0.370000"
"32.125000";"1.337088";"0.773434";"1.302167";"339.333333";"0.566288";"10";"1";"0.010000"
"44.952381";"0.459070";"0.848895";"1.325335";"343.571429";"0.644886";"8";"1";"0.160000"
"4.916667";"122.577339";"0.068010";"0.317649";"51.750000";"0.087950";"1";"0";"0.000000"
"30.625000";"1.408018";"0.699417";"1.213308";"337.333333";"0.577533";"7";"3";"0.310000"
