"entropy";"path_consecutiveness";"bfr";"msi"
58.190476;0.113593;0.874401;349.238095
58.285714;0.098457;0.881822;349.238095
58.285714;0.09924;0.88215;349.238095
58.285714;0.099627;0.876456;349.238095
58.380952;0.10629;0.882743;349.238095
58.380952;0.11144;0.876915;349.238095
58.380952;0.112233;0.877067;349.238095
58.380952;0.115508;0.877748;349.238095
58.761905;0.115657;0.877457;349.238095
42.47619;0.100823;0.817833;349.380952
